STATE,AER 2023,AER 2022,AER 2021,AER 2020
Alabama,14.36,12.86,12.38,12.38
Alaska,21.9,22.09,21.32,22.59
Arizona,12.62,12.37,11.7,11.68
Arkansas,11.42,10.33,9.42,9.83
California,26.45,23.6,21.43,19.93
Colorado,14.2,13.59,12.14,11.74
Connecticut,30.24,22.29,21.29,22.1
Delaware,14.18,12.24,11.77,12.17
District of Columbia,14.91,13.23,12.26,12.38
Florida,15.01,13.36,11.65,11.72
Georgia,12.87,11.63,10.94,10.87
Hawaii,44.96,37.61,30.55,31.7
Idaho,10.58,9.9,10.05,9.91
Illinois,16.04,13.12,12.3,12.63
Indiana,15.43,13.41,12.25,11.91
Iowa,11.3,10.97,10.87,11.72
Kansas,12.97,12.52,11.87,11.82
Kentucky,12.68,11.93,10.46,10.62
Louisiana,11.94,11.2,9.58,9.05
Maine,24.12,18.33,16.5,16.81
Maryland,15.87,13.41,12.61,13.42
Massachusetts,31.71,25.36,22.32,22.9
Michigan,17.99,17.11,16.92,15.74
Minnesota,13.08,12.71,12.48,12.49
Mississippi,13.18,11.48,10.88,11.33
Missouri,10.73,10.06,9.38,9.52
Montana,10.73,10.67,10.72,11.15
Nebraska,9.35,9.43,9.41,9.59
Nevada,16.81,12.94,11.53,11.98
New Hampshire,31.72,21.27,18.93,19.9
New Jersey,16.92,16.33,16.18,15.43
New Mexico,13.53,13.11,12.53,12.08
New York,23.57,21.02,18.27,17.55
North Carolina,12.67,10.88,10.6,11.01
North Dakota,9.91,9.44,9.44,9.01
Ohio,14.31,12.53,11.83,11.72
Oklahoma,10.96,10.16,8.92,9.05
Oregon,12.04,10.86,11.01,10.69
Pennsylvania,17.99,14.18,13.09,13.63
Rhode Island,28.96,23.56,23.41,24.23
South Carolina,13.99,12.73,11.99,12.26
South Dakota,11.25,11.03,10.99,10.67
Tennessee,12.11,11.5,10.36,10.84
Texas,14.18,12.28,11.39,11.73
Utah,10.66,10.27,10.04,10.09
Vermont,19.95,19.34,18.38,19.27
Virginia,14.03,12.1,11.05,11.68
Washington,10.48,9.92,9.76,9.43
West Virginia,13.09,11.95,11.2,10.89
Wisconsin,16.05,14.81,14.05,14.31
Wyoming,10.28,10.28,10.47,10.49
