Alaska 	21.32	22.59	-6.0	$191.24
Alabama 	12.38	12.38	0.0	$111.05
Arkansas 	9.42	9.83	-4.4	$84.50
Arizona 	11.7	11.68	0.2	$104.95
California 	21.43	19.93	7.0	$192.23
Colorado 	12.14	11.74	3.3	$108.90
Connecticut 	21.29	22.1	-3.8	$190.97
District Of Columbia 	12.26	12.38	-1.0	$109.97
Delaware 	11.77	12.17	-3.4	$105.58
Florida 	11.65	11.72	-0.6	$104.50
Georgia 	10.94	10.87	0.6	$98.13
Hawaii 	30.55	31.7	-3.8	$274.03
Iowa 	10.87	11.72	-7.8	$97.50
Idaho 	10.05	9.91	1.4	$90.15
Illinois 	12.3	12.63	-2.7	$110.33
Indiana 	12.25	11.91	2.8	$109.88
Kansas 	11.87	11.82	0.4	$106.47
Kentucky 	10.46	10.62	-1.5	$93.83
Louisiana 	9.58	9.05	5.5	$85.93
Massachusetts 	22.32	22.9	-2.6	$200.21
Maryland 	12.61	13.42	-6.4	$113.11
Maine 	16.5	16.81	-1.9	$148.01
Michigan 	16.92	15.74	7.0	$151.77
Minnesota 	12.48	12.49	-0.1	$111.95
Missouri 	9.38	9.52	-1.5	$84.14
Mississippi 	10.88	11.33	-4.1	$97.59
Montana 	10.72	11.15	-4.0	$96.16
North Carolina 	10.6	11.01	-3.9	$95.08
North Dakota 	9.44	9.01	4.6	$84.68
Nebraska 	9.41	9.59	-1.9	$84.41
New Hampshire 	18.93	19.9	-5.1	$169.80
New Jersey 	16.18	15.43	4.6	$145.13
New Mexico 	12.53	12.08	3.6	$112.39
Nevada 	11.53	11.98	-3.9	$103.42
New York 	18.27	17.55	3.9	$163.88
Ohio 	11.83	11.72	0.9	$106.12
Oklahoma 	8.92	9.05	-1.5	$80.01
Oregon 	11.01	10.69	2.9	$98.76
Pennsylvania 	13.09	13.63	-4.1	$117.42
Rhode Island 	23.41	24.23	-3.5	$209.99
South Carolina 	11.99	12.26	-2.3	$107.55
South Dakota 	10.99	10.67	2.9	$98.58
Tennessee 	10.36	10.84	-4.6	$92.93
Texas 	11.39	11.73	-3.0	$102.17
Utah 	10.04	10.09	-0.5	$90.06
Virginia 	11.05	11.68	-5.7	$99.12
Vermont 	18.38	19.27	-4.8	$164.87
Washington 	9.76	9.43	3.4	$87.55
Wisconsin 	14.05	14.31	-1.9	$126.03
West Virginia 	11.2	10.89	2.8	$100.46
Wyoming 	10.47	10.49	-0.2	$93.92
